,clssifiers,BA,TN,FP,FN,TP
0,DecisionTree,0.5227237953543441,17.0,14.0,20.0,21.0
1,RandomForest,0.540125885129819,3.0,28.0,4.0,37.0
2,KNN,0.5,0.0,31.0,0.0,41.0
