,clssifiers,BA,TN,FP,FN,TP
0,DecisionTree,0.5136460964850987,1113.0,305.0,213.0,71.0
1,RandomForest,0.5256535688035122,1292.0,126.0,251.0,33.0
2,KNN,0.5386156856512843,1183.0,235.0,215.0,69.0
