datetime,open,high,low,close,volume
2023-08-15 00:56:00,29404.71,29415.09,29404.71,29415.09,20.81217
2023-08-15 00:57:00,29415.08,29433.89,29415.08,29433.88,20.49895
2023-08-15 00:58:00,29433.89,29433.89,29433.88,29433.88,1.55725
2023-08-15 00:59:00,29433.88,29433.89,29433.88,29433.88,3.91352
2023-08-15 01:00:00,29433.89,29433.89,29433.15,29433.15,7.37646
2023-08-15 01:01:00,29433.16,29433.16,29433.15,29433.15,5.89775
2023-08-15 01:02:00,29433.16,29433.17,29433.15,29433.17,9.58907
2023-08-15 01:03:00,29433.17,29433.17,29433.16,29433.17,0.99692
2023-08-15 01:04:00,29433.17,29435.66,29433.16,29435.65,11.14418
2023-08-15 01:05:00,29435.66,29445.87,29435.65,29445.87,24.73651
2023-08-15 01:06:00,29445.86,29445.87,29445.86,29445.86,2.67474
2023-08-15 01:07:00,29445.87,29445.87,29445.86,29445.86,3.58859
2023-08-15 01:08:00,29445.86,29445.87,29445.86,29445.87,1.94027
2023-08-15 01:09:00,29445.87,29445.87,29445.86,29445.87,3.38269
2023-08-15 01:10:00,29445.87,29445.87,29445.86,29445.87,23.58942
2023-08-15 01:11:00,29445.86,29445.87,29445.86,29445.87,5.18641
2023-08-15 01:12:00,29445.87,29445.87,29445.86,29445.86,4.09172
2023-08-15 01:13:00,29445.86,29449.99,29445.86,29449.98,15.31139
2023-08-15 01:14:00,29449.99,29449.99,29449.98,29449.99,2.02755
2023-08-15 01:15:00,29449.99,29450.1,29449.98,29450.09,14.67048
2023-08-15 01:16:00,29450.1,29450.1,29444.9,29444.91,10.86158
2023-08-15 01:17:00,29444.9,29444.91,29431.17,29431.18,18.20238
2023-08-15 01:18:00,29431.18,29431.18,29430.0,29430.01,2.50716
2023-08-15 01:19:00,29430.01,29430.01,29427.4,29427.4,19.19822
2023-08-15 01:20:00,29427.41,29427.41,29427.4,29427.41,4.25668
2023-08-15 01:21:00,29427.4,29427.41,29420.52,29420.53,7.68552
2023-08-15 01:22:00,29420.52,29420.53,29420.52,29420.52,6.03092
