,clssifiers,BA,TN,FP,FN,TP
0,DecisionTree,0.5447178871548619,19.0,15.0,23.0,26.0
1,RandomForest,0.6092436974789917,15.0,19.0,22.0,27.0
2,KNN,0.6263505402160865,19.0,15.0,15.0,34.0
