,clssifiers,BA,TN,FP,FN,TP
0,DecisionTree,0.5143295477744538,8.0,11.0,13.0,20.0
1,RandomForest,0.6483253588516746,8.0,11.0,9.0,24.0
2,KNN,0.5039872408293461,18.0,1.0,31.0,2.0
