,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
0,DOGE/USDT:USDT,1694802230805,2023-09-15T18:23:50.805Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278193860.0,141089866.06,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '273', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278193860', 'quoteVolume': '141089866.060000', 'openTime': '1694715780000', 'closeTime': '1694802230805', 'firstId': '1332408744', 'lastId': '1332669291', 'count': '260546'}"
1,DOGE/USDT:USDT,1694802230805,2023-09-15T18:23:50.805Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278193860.0,141089866.06,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '273', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278193860', 'quoteVolume': '141089866.060000', 'openTime': '1694715780000', 'closeTime': '1694802230805', 'firstId': '1332408744', 'lastId': '1332669291', 'count': '260546'}"
2,DOGE/USDT:USDT,1694802230805,2023-09-15T18:23:50.805Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278193860.0,141089866.06,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '273', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278193860', 'quoteVolume': '141089866.060000', 'openTime': '1694715780000', 'closeTime': '1694802230805', 'firstId': '1332408744', 'lastId': '1332669291', 'count': '260546'}"
3,DOGE/USDT:USDT,1694802234071,2023-09-15T18:23:54.071Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278194038.0,141089877.06,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278194038', 'quoteVolume': '141089877.060000', 'openTime': '1694715780000', 'closeTime': '1694802234071', 'firstId': '1332408744', 'lastId': '1332669292', 'count': '260547'}"
4,DOGE/USDT:USDT,1694802234071,2023-09-15T18:23:54.071Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278194038.0,141089877.06,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278194038', 'quoteVolume': '141089877.060000', 'openTime': '1694715780000', 'closeTime': '1694802234071', 'firstId': '1332408744', 'lastId': '1332669292', 'count': '260547'}"
5,DOGE/USDT:USDT,1694802234071,2023-09-15T18:23:54.071Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278194038.0,141089877.06,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278194038', 'quoteVolume': '141089877.060000', 'openTime': '1694715780000', 'closeTime': '1694802234071', 'firstId': '1332408744', 'lastId': '1332669292', 'count': '260547'}"
6,DOGE/USDT:USDT,1694802238050,2023-09-15T18:23:58.050Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278198982.0,141090182.71,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278198982', 'quoteVolume': '141090182.710000', 'openTime': '1694715780000', 'closeTime': '1694802238050', 'firstId': '1332408744', 'lastId': '1332669304', 'count': '260559'}"
7,DOGE/USDT:USDT,1694802238050,2023-09-15T18:23:58.050Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278198982.0,141090182.71,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278198982', 'quoteVolume': '141090182.710000', 'openTime': '1694715780000', 'closeTime': '1694802238050', 'firstId': '1332408744', 'lastId': '1332669304', 'count': '260559'}"
8,DOGE/USDT:USDT,1694802238050,2023-09-15T18:23:58.050Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278198982.0,141090182.71,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278198982', 'quoteVolume': '141090182.710000', 'openTime': '1694715780000', 'closeTime': '1694802238050', 'firstId': '1332408744', 'lastId': '1332669304', 'count': '260559'}"
9,DOGE/USDT:USDT,1694802238050,2023-09-15T18:23:58.050Z,0.0625,0.06132,,,,,0.061931,0.0623,0.06182,0.06182,,-0.00048,-0.77,0.06206,2278198982.0,141090182.71,"{'symbol': 'DOGEUSDT', 'priceChange': '-0.000480', 'priceChangePercent': '-0.770', 'weightedAvgPrice': '0.061931', 'lastPrice': '0.061820', 'lastQty': '178', 'openPrice': '0.062300', 'highPrice': '0.062500', 'lowPrice': '0.061320', 'volume': '2278198982', 'quoteVolume': '141090182.710000', 'openTime': '1694715780000', 'closeTime': '1694802238050', 'firstId': '1332408744', 'lastId': '1332669304', 'count': '260559'}"
