,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1037374,46410.97699366,77840.0,0.0,81390.0,ASK
1,1712689620.603191,46410.97699366,77840.0,-0.0,81390.0,ASK
2,1712689650.6235418,46410.97699366,77840.0,-0.0,81390.0,ASK
3,1712689651.2122128,46410.97699393,77840.0,-6.517767761437114e-17,81390.0,ASK
4,1712689680.6336656,46410.97699393,77840.0,-0.0,81390.0,ASK
5,1712689710.6220398,46410.97699393,77840.0,-0.0,81390.0,ASK
6,1712689740.9642432,46410.97699393,77840.0,-0.0,81390.0,ASK
7,1712689770.943766,46410.97699393,77840.0,-0.0,81390.0,ASK
8,1712689800.632116,46410.97699393,77840.0,-0.0,81390.0,ASK
9,1712689830.1336172,46440.97699393,77700.0,-7.241922414053322e-09,81390.0,ASK
10,1712689830.6219895,46440.97699393,77700.0,-0.0,81390.0,ASK
11,1712689851.7721934,46441.47237893,77670.0,-1.1951740570486982e-10,81390.0,ASK
12,1712689852.3537197,46441.47237953,77670.0,-1.4475809615225198e-16,81390.0,ASK
13,1712689852.3549545,46442.02297893,77650.0,-1.3283852331235256e-10,81390.0,ASK
14,1712689857.0521293,46442.02297965,77650.0,-1.7370831105503303e-16,81390.0,ASK
15,1712689857.0533895,46463.06924675,77650.0,-5.077657263725069e-09,81390.0,ASK
16,1712689857.1120906,46481.25336875,77650.0,-4.387131395752329e-09,81390.0,ASK
17,1712689857.1133325,46481.25336891,77650.0,-3.86014568100992e-17,81390.0,ASK
18,1712689860.9440064,46481.25336891,77650.0,-0.0,81390.0,ASK
19,1712689890.9023335,46482.25336891,77600.0,-2.4107975249987044e-10,81390.0,ASK
20,1712689890.903267,46482.75336891,77600.0,-1.2053987624993522e-10,81390.0,ASK
21,1712689890.9344845,46482.75336891,77600.0,-0.0,81390.0,ASK
22,1712689913.5620036,46483.25336891,77570.0,-1.2053649379303342e-10,81390.0,ASK
23,1712689920.6032906,46483.25336891,77570.0,-0.0,81390.0,ASK
24,1712689950.63194,46483.25336891,77570.0,-0.0,81390.0,ASK
25,1712689961.862196,46484.54252691,77570.0,-3.1077826474868657e-10,81390.0,ASK
26,1712689967.932243,46484.54252708,77570.0,-4.098093354805572e-17,81390.0,ASK
27,1712689967.9336035,46498.31886621,77550.0,-3.32107217999127e-09,81390.0,ASK
28,1712689968.0519974,46500.89816621,77540.0,-6.21793743098827e-10,81390.0,ASK
29,1712689978.7021704,46501.25247366,77540.0,8.541315688230263e-11,81390.0,BID
30,1712689980.942233,46501.25247366,77540.0,0.0,81390.0,BID
31,1712689984.0419528,46501.60642358,77540.0,8.529826458855742e-11,81390.0,BID
32,1712690010.9921682,46501.60642358,77540.0,0.0,81390.0,BID
33,1712690040.5931995,46501.60642358,77540.0,0.0,81390.0,BID
34,1712690070.6020377,46501.60642358,77540.0,0.0,81390.0,BID
35,1712690100.6422114,46501.60642358,77540.0,0.0,81390.0,BID
36,1712690130.584029,46501.60642358,77540.0,0.0,81390.0,BID
37,1712690160.9523387,46501.60642358,77540.0,0.0,81390.0,BID
38,1712690191.0019803,46501.60642358,77540.0,0.0,81390.0,BID
39,1712690220.622255,46501.60642358,77540.0,0.0,81390.0,BID
40,1712690250.6722777,46501.60642358,77540.0,0.0,81390.0,BID
41,1712690280.9239,46501.60642358,77540.0,0.0,81390.0,BID
42,1712690310.944321,46501.60642358,77540.0,0.0,81390.0,BID
43,1712690327.7724164,46505.34642873,77540.0,-9.014060691682822e-10,81390.0,ASK
44,1712690327.7741516,46505.41349089,77540.0,-1.6163142993454524e-11,81390.0,ASK
45,1712690327.8722146,46505.47799037,77530.0,-1.554549269154676e-11,81390.0,ASK
46,1712690327.873919,46505.81760689,77520.0,-8.185346812165555e-11,81390.0,ASK
47,1712690340.6037652,46505.81760689,77520.0,-0.0,81390.0,ASK
48,1712690370.6332152,46505.81760689,77520.0,-0.0,81390.0,ASK
49,1712690400.6825583,46505.81760689,77520.0,-0.0,81390.0,ASK
50,1712690430.6224144,46505.81760689,77520.0,-0.0,81390.0,ASK
51,1712690460.9420764,46505.81760689,77520.0,-0.0,81390.0,ASK
52,1712690490.9541404,46505.81760689,77520.0,-0.0,81390.0,ASK
53,1712690520.622225,46505.81760689,77520.0,-0.0,81390.0,ASK
54,1712690548.393021,46505.8176079,77520.0,-2.4347839737694633e-16,81390.0,ASK
55,1712690548.4075084,46505.94111038,77520.0,-2.97725348583492e-11,81390.0,ASK
56,1712690550.6043053,46505.94111038,77520.0,-0.0,81390.0,ASK
57,1712690580.9423065,46505.94111038,77520.0,-0.0,81390.0,ASK
58,1712690583.6021454,46507.47722361,77740.0,3.703073746522698e-10,81390.0,BID
59,1712690591.6126704,46507.72892361,77760.0,6.067675505757455e-11,81390.0,BID
60,1712690591.622063,46508.09822361,77760.0,8.902632357447659e-11,81390.0,BID
61,1712690595.695226,46509.25030761,77770.0,2.777303086023255e-10,81390.0,BID
62,1712690595.79264,46509.25030853,77770.0,2.217826242755485e-16,81390.0,BID
63,1712690595.7944665,46510.25030761,77800.0,2.4106753768959405e-10,81390.0,BID
64,1712690596.060274,46513.0499167,77750.0,-6.74895490725587e-10,81390.0,ASK
65,1712690596.0722754,46513.1344167,77790.0,2.037022567472892e-11,81390.0,BID
66,1712690596.0737078,46513.2325167,77780.0,2.3648747204920608e-11,81390.0,BID
